y_grad,unit,isco88,geo,year,value
1990 and after,Percentage,Teaching professionals,Bulgaria,2006 ,47.69
1990 and after,Percentage,Teaching professionals,Cyprus,2009 ,0
1990 and after,Percentage,Teaching professionals,Cyprus,2006 ,51.38
1990 and after,Percentage,Teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,10.23
1990 and after,Percentage,Teaching professionals,Denmark,2009 ,0
1990 and after,Percentage,Teaching professionals,Denmark,2006 ,23.4
1990 and after,Percentage,Teaching professionals,Estonia,2009 ,0
1990 and after,Percentage,Teaching professionals,Estonia,2006 ,31.85
1990 and after,Percentage,Teaching professionals,Spain,2009 ,0
1990 and after,Percentage,Teaching professionals,Spain,2006 ,51.97
1990 and after,Percentage,Teaching professionals,Italy,2009 ,0
1990 and after,Percentage,Teaching professionals,Italy,2006 ,58.53
1990 and after,Percentage,Teaching professionals,Lithuania,2009 ,0
1990 and after,Percentage,Teaching professionals,Lithuania,2006 ,43.37
1990 and after,Percentage,Teaching professionals,Latvia,2009 ,44.94
1990 and after,Percentage,Teaching professionals,Latvia,2006 ,48.44
1990 and after,Percentage,Teaching professionals,Netherlands,2009 ,0
1990 and after,Percentage,Teaching professionals,Netherlands,2006 ,13.64
1990 and after,Percentage,Teaching professionals,Portugal,2009 ,0
1990 and after,Percentage,Teaching professionals,Portugal,2006 ,78.59
1990 and after,Percentage,Teaching professionals,United States,2009 ,0
1990 and after,Percentage,Teaching professionals,United States,2006 ,27.82
1990 and after,Percentage,College, university and higher education teaching professionals,Austria,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Austria,2006 ,12.56
1990 and after,Percentage,College, university and higher education teaching professionals,Bulgaria,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Bulgaria,2006 ,46.14
1990 and after,Percentage,College, university and higher education teaching professionals,Cyprus,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Cyprus,2006 ,44.95
1990 and after,Percentage,College, university and higher education teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,6.99
1990 and after,Percentage,College, university and higher education teaching professionals,Denmark,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Denmark,2006 ,21
1990 and after,Percentage,College, university and higher education teaching professionals,Estonia,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Estonia,2006 ,31.27
1990 and after,Percentage,College, university and higher education teaching professionals,Spain,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Spain,2006 ,43.62
1990 and after,Percentage,College, university and higher education teaching professionals,Lithuania,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Lithuania,2006 ,41
1990 and after,Percentage,College, university and higher education teaching professionals,Latvia,2009 ,43.34
1990 and after,Percentage,College, university and higher education teaching professionals,Latvia,2006 ,45.76
1990 and after,Percentage,College, university and higher education teaching professionals,Portugal,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,Portugal,2006 ,76.75
1990 and after,Percentage,College, university and higher education teaching professionals,United States,2009 ,0
1990 and after,Percentage,College, university and higher education teaching professionals,United States,2006 ,27.14
1990 and after,Percentage,Secondary education teaching professionals,Austria,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Austria,2006 ,3.73
1990 and after,Percentage,Secondary education teaching professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Bulgaria,2006 ,1.27
1990 and after,Percentage,Secondary education teaching professionals,Cyprus,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Cyprus,2006 ,4.28
1990 and after,Percentage,Secondary education teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,2.49
1990 and after,Percentage,Secondary education teaching professionals,Denmark,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Denmark,2006 ,1.6
1990 and after,Percentage,Secondary education teaching professionals,Estonia,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Estonia,2006 ,0.46
1990 and after,Percentage,Secondary education teaching professionals,Spain,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Spain,2006 ,7.16
1990 and after,Percentage,Secondary education teaching professionals,Lithuania,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Lithuania,2006 ,0.18
1990 and after,Percentage,Secondary education teaching professionals,Latvia,2009 ,0.91
1990 and after,Percentage,Secondary education teaching professionals,Latvia,2006 ,1.43
1990 and after,Percentage,Secondary education teaching professionals,Portugal,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,Portugal,2006 ,1.21
1990 and after,Percentage,Secondary education teaching professionals,United States,2009 ,0
1990 and after,Percentage,Secondary education teaching professionals,United States,2006 ,0.49
1990 and after,Percentage,Other teaching professionals,Austria,2009 ,0
1990 and after,Percentage,Other teaching professionals,Austria,2006 ,0.4
1990 and after,Percentage,Other teaching professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Other teaching professionals,Bulgaria,2006 ,0.28
1990 and after,Percentage,Other teaching professionals,Cyprus,2009 ,0
1990 and after,Percentage,Other teaching professionals,Cyprus,2006 ,2.14
1990 and after,Percentage,Other teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Other teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Percentage,Other teaching professionals,Denmark,2009 ,0
1990 and after,Percentage,Other teaching professionals,Denmark,2006 ,0.8
1990 and after,Percentage,Other teaching professionals,Estonia,2009 ,0
1990 and after,Percentage,Other teaching professionals,Estonia,2006 ,0.12
1990 and after,Percentage,Other teaching professionals,Spain,2009 ,0
1990 and after,Percentage,Other teaching professionals,Spain,2006 ,1.18
1990 and after,Percentage,Other teaching professionals,Lithuania,2009 ,0
1990 and after,Percentage,Other teaching professionals,Lithuania,2006 ,2.19
1990 and after,Percentage,Other teaching professionals,Latvia,2009 ,0.69
1990 and after,Percentage,Other teaching professionals,Latvia,2006 ,1.25
1990 and after,Percentage,Other teaching professionals,Portugal,2009 ,0
1990 and after,Percentage,Other teaching professionals,Portugal,2006 ,0.64
1990 and after,Percentage,Other teaching professionals,United States,2009 ,0
1990 and after,Percentage,Other teaching professionals,United States,2006 ,0.18
1990 and after,Percentage,Other professionals,Austria,2009 ,0
1990 and after,Percentage,Other professionals,Austria,2006 ,24.72
1990 and after,Percentage,Other professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Other professionals,Bulgaria,2006 ,28.38
1990 and after,Percentage,Other professionals,Cyprus,2009 ,0
1990 and after,Percentage,Other professionals,Cyprus,2006 ,4.89
1990 and after,Percentage,Other professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Other professionals,Germany (until 1990 former territory of the FRG),2006 ,15.4
1990 and after,Percentage,Other professionals,Denmark,2009 ,0
1990 and after,Percentage,Other professionals,Denmark,2006 ,6.4
1990 and after,Percentage,Other professionals,Estonia,2009 ,0
1990 and after,Percentage,Other professionals,Estonia,2006 ,9.67
1990 and after,Percentage,Other professionals,Spain,2009 ,0
1990 and after,Percentage,Other professionals,Spain,2006 ,3.98
1990 and after,Percentage,Other professionals,Italy,2009 ,0
1990 and after,Percentage,Other professionals,Italy,2006 ,6.64
1990 and after,Percentage,Other professionals,Lithuania,2009 ,0
1990 and after,Percentage,Other professionals,Lithuania,2006 ,10.22
1990 and after,Percentage,Other professionals,Latvia,2009 ,27.26d
1990 and after,Percentage,Other professionals,Latvia,2006 ,23.94
1990 and after,Percentage,Other professionals,Netherlands,2009 ,0
1990 and after,Percentage,Other professionals,Netherlands,2006 ,18.18
1990 and after,Percentage,Other professionals,Portugal,2009 ,0
1990 and after,Percentage,Other professionals,Portugal,2006 ,1.54
1990 and after,Percentage,Other professionals,United States,2009 ,0
1990 and after,Percentage,Other professionals,United States,2006 ,16.59
1990 and after,Percentage,Business professionals,Austria,2009 ,0
1990 and after,Percentage,Business professionals,Austria,2006 ,5.44
1990 and after,Percentage,Business professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Business professionals,Bulgaria,2006 ,0.75
1990 and after,Percentage,Business professionals,Cyprus,2009 ,0
1990 and after,Percentage,Business professionals,Cyprus,2006 ,1.22
1990 and after,Percentage,Business professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Business professionals,Germany (until 1990 former territory of the FRG),2006 ,5.95
1990 and after,Percentage,Business professionals,Denmark,2009 ,0
1990 and after,Percentage,Business professionals,Denmark,2006 ,1.6
1990 and after,Percentage,Business professionals,Estonia,2009 ,0
1990 and after,Percentage,Business professionals,Estonia,2006 ,0.64
1990 and after,Percentage,Business professionals,Spain,2009 ,0
1990 and after,Percentage,Business professionals,Spain,2006 ,0.88
1990 and after,Percentage,Business professionals,Lithuania,2009 ,0
1990 and after,Percentage,Business professionals,Lithuania,2006 ,3.66
1990 and after,Percentage,Business professionals,Latvia,2009 ,3.35
1990 and after,Percentage,Business professionals,Latvia,2006 ,1.81
1990 and after,Percentage,Business professionals,Portugal,2009 ,0
1990 and after,Percentage,Business professionals,Portugal,2006 ,0.08
1990 and after,Percentage,Business professionals,United States,2009 ,0
1990 and after,Percentage,Business professionals,United States,2006 ,3.43
1990 and after,Percentage,Legal professionals,Austria,2009 ,0
1990 and after,Percentage,Legal professionals,Austria,2006 ,9.76
1990 and after,Percentage,Legal professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Legal professionals,Bulgaria,2006 ,0.18
1990 and after,Percentage,Legal professionals,Cyprus,2009 ,0
1990 and after,Percentage,Legal professionals,Cyprus,2006 ,0
1990 and after,Percentage,Legal professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Legal professionals,Germany (until 1990 former territory of the FRG),2006 ,3.98
1990 and after,Percentage,Legal professionals,Denmark,2009 ,0
1990 and after,Percentage,Legal professionals,Denmark,2006 ,0.7
1990 and after,Percentage,Legal professionals,Estonia,2009 ,0
1990 and after,Percentage,Legal professionals,Estonia,2006 ,0.17
1990 and after,Percentage,Legal professionals,Spain,2009 ,0
1990 and after,Percentage,Legal professionals,Spain,2006 ,0.96
1990 and after,Percentage,Legal professionals,Lithuania,2009 ,0
1990 and after,Percentage,Legal professionals,Lithuania,2006 ,1.17
1990 and after,Percentage,Legal professionals,Latvia,2009 ,0.59
1990 and after,Percentage,Legal professionals,Latvia,2006 ,0.69
1990 and after,Percentage,Legal professionals,Portugal,2009 ,0
1990 and after,Percentage,Legal professionals,Portugal,2006 ,0.23
1990 and after,Percentage,Legal professionals,United States,2009 ,0
1990 and after,Percentage,Legal professionals,United States,2006 ,0.55
1990 and after,Percentage,Archivists, librarians and related information professionals,Austria,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Austria,2006 ,1.57
1990 and after,Percentage,Archivists, librarians and related information professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Bulgaria,2006 ,1.23
1990 and after,Percentage,Archivists, librarians and related information professionals,Cyprus,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Cyprus,2006 ,0.31
1990 and after,Percentage,Archivists, librarians and related information professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Denmark,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Denmark,2006 ,0.7
1990 and after,Percentage,Archivists, librarians and related information professionals,Estonia,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Estonia,2006 ,0.12
1990 and after,Percentage,Archivists, librarians and related information professionals,Spain,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Spain,2006 ,0.55
1990 and after,Percentage,Archivists, librarians and related information professionals,Lithuania,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Lithuania,2006 ,0.34
1990 and after,Percentage,Archivists, librarians and related information professionals,Latvia,2009 ,0.21
1990 and after,Percentage,Archivists, librarians and related information professionals,Latvia,2006 ,0.62
1990 and after,Percentage,Archivists, librarians and related information professionals,Portugal,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,Portugal,2006 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,United States,2009 ,0
1990 and after,Percentage,Archivists, librarians and related information professionals,United States,2006 ,0.18
1990 and after,Percentage,Social science and related professionals,Austria,2009 ,0
1990 and after,Percentage,Social science and related professionals,Austria,2006 ,6.53
1990 and after,Percentage,Social science and related professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Social science and related professionals,Bulgaria,2006 ,0.94
1990 and after,Percentage,Social science and related professionals,Cyprus,2009 ,0
1990 and after,Percentage,Social science and related professionals,Cyprus,2006 ,2.14
1990 and after,Percentage,Social science and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Social science and related professionals,Germany (until 1990 former territory of the FRG),2006 ,3.29
1990 and after,Percentage,Social science and related professionals,Denmark,2009 ,0
1990 and after,Percentage,Social science and related professionals,Denmark,2006 ,3.1
1990 and after,Percentage,Social science and related professionals,Estonia,2009 ,0
1990 and after,Percentage,Social science and related professionals,Estonia,2006 ,7.82
1990 and after,Percentage,Social science and related professionals,Spain,2009 ,0
1990 and after,Percentage,Social science and related professionals,Spain,2006 ,1.35
1990 and after,Percentage,Social science and related professionals,Lithuania,2009 ,0
1990 and after,Percentage,Social science and related professionals,Lithuania,2006 ,4.65
1990 and after,Percentage,Social science and related professionals,Latvia,2009 ,21.67
1990 and after,Percentage,Social science and related professionals,Latvia,2006 ,19.26
1990 and after,Percentage,Social science and related professionals,Portugal,2009 ,0
1990 and after,Percentage,Social science and related professionals,Portugal,2006 ,1.13
1990 and after,Percentage,Social science and related professionals,United States,2009 ,0
1990 and after,Percentage,Social science and related professionals,United States,2006 ,11.69
1990 and after,Percentage,Writers and creative or performing artists,Austria,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Austria,2006 ,0.67
1990 and after,Percentage,Writers and creative or performing artists,Bulgaria,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Bulgaria,2006 ,0.33
1990 and after,Percentage,Writers and creative or performing artists,Cyprus,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Cyprus,2006 ,0.92
1990 and after,Percentage,Writers and creative or performing artists,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Percentage,Writers and creative or performing artists,Denmark,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Denmark,2006 ,0.1
1990 and after,Percentage,Writers and creative or performing artists,Estonia,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Estonia,2006 ,0.93
1990 and after,Percentage,Writers and creative or performing artists,Spain,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Spain,2006 ,0.24
1990 and after,Percentage,Writers and creative or performing artists,Lithuania,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Lithuania,2006 ,0.4
1990 and after,Percentage,Writers and creative or performing artists,Latvia,2009 ,0.21
1990 and after,Percentage,Writers and creative or performing artists,Latvia,2006 ,0.62
1990 and after,Percentage,Writers and creative or performing artists,Portugal,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,Portugal,2006 ,0.03
1990 and after,Percentage,Writers and creative or performing artists,United States,2009 ,0
1990 and after,Percentage,Writers and creative or performing artists,United States,2006 ,0.61
1990 and after,Percentage,Religious professionals,Austria,2009 ,0
1990 and after,Percentage,Religious professionals,Austria,2006 ,0.74
1990 and after,Percentage,Religious professionals,Bulgaria,2009 ,0
1990 and after,Percentage,Religious professionals,Bulgaria,2006 ,0
1990 and after,Percentage,Religious professionals,Cyprus,2009 ,0
1990 and after,Percentage,Religious professionals,Cyprus,2006 ,0.31
1990 and after,Percentage,Religious professionals,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Religious professionals,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Percentage,Religious professionals,Denmark,2009 ,0
1990 and after,Percentage,Religious professionals,Denmark,2006 ,0.1
1990 and after,Percentage,Religious professionals,Estonia,2009 ,0
1990 and after,Percentage,Religious professionals,Estonia,2006 ,1.85
1990 and after,Percentage,Religious professionals,Lithuania,2009 ,0
1990 and after,Percentage,Religious professionals,Lithuania,2006 ,0
1990 and after,Percentage,Religious professionals,Latvia,2009 ,0
1990 and after,Percentage,Religious professionals,Latvia,2006 ,0.37
1990 and after,Percentage,Religious professionals,Portugal,2009 ,0
1990 and after,Percentage,Religious professionals,Portugal,2006 ,0
1990 and after,Percentage,Religious professionals,United States,2009 ,0
1990 and after,Percentage,Religious professionals,United States,2006 ,0.12
1990 and after,Percentage,Scientific administration employees,Latvia,2009 ,0
1990 and after,Percentage,Scientific administration employees,Latvia,2006 ,0.56
1990 and after,Percentage,Other occupations,Austria,2009 ,0
1990 and after,Percentage,Other occupations,Austria,2006 ,16.39
1990 and after,Percentage,Other occupations,Bulgaria,2009 ,0
1990 and after,Percentage,Other occupations,Bulgaria,2006 ,0
1990 and after,Percentage,Other occupations,Cyprus,2009 ,0
1990 and after,Percentage,Other occupations,Cyprus,2006 ,0.31
1990 and after,Percentage,Other occupations,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Other occupations,Germany (until 1990 former territory of the FRG),2006 ,13.03
1990 and after,Percentage,Other occupations,Denmark,2009 ,0
1990 and after,Percentage,Other occupations,Denmark,2006 ,5.1
1990 and after,Percentage,Other occupations,Estonia,2009 ,0
1990 and after,Percentage,Other occupations,Estonia,2006 ,1.85
1990 and after,Percentage,Other occupations,Spain,2009 ,0
1990 and after,Percentage,Other occupations,Spain,2006 ,3.8
1990 and after,Percentage,Other occupations,Italy,2009 ,0
1990 and after,Percentage,Other occupations,Italy,2006 ,13.32
1990 and after,Percentage,Other occupations,Lithuania,2009 ,0
1990 and after,Percentage,Other occupations,Lithuania,2006 ,0.4
1990 and after,Percentage,Other occupations,Latvia,2009 ,1.6
1990 and after,Percentage,Other occupations,Latvia,2006 ,2.56
1990 and after,Percentage,Other occupations,Netherlands,2009 ,0
1990 and after,Percentage,Other occupations,Netherlands,2006 ,20.45
1990 and after,Percentage,Other occupations,Portugal,2009 ,0
1990 and after,Percentage,Other occupations,Portugal,2006 ,0.97
1990 and after,Percentage,Other occupations,United States,2009 ,0
1990 and after,Percentage,Other occupations,United States,2006 ,2.17
1990 and after,Percentage,Total,Austria,2009 ,0
1990 and after,Percentage,Total,Austria,2006 ,100
1990 and after,Percentage,Total,Bulgaria,2009 ,0
1990 and after,Percentage,Total,Bulgaria,2006 ,100
1990 and after,Percentage,Total,Cyprus,2009 ,0
1990 and after,Percentage,Total,Cyprus,2006 ,100
1990 and after,Percentage,Total,Germany (until 1990 former territory of the FRG),2009 ,0
1990 and after,Percentage,Total,Germany (until 1990 former territory of the FRG),2006 ,100
1990 and after,Percentage,Total,Denmark,2009 ,0
1990 and after,Percentage,Total,Denmark,2006 ,100
1990 and after,Percentage,Total,Estonia,2009 ,0
1990 and after,Percentage,Total,Estonia,2006 ,100
1990 and after,Percentage,Total,Spain,2009 ,0
1990 and after,Percentage,Total,Spain,2006 ,100
1990 and after,Percentage,Total,Italy,2009 ,0
1990 and after,Percentage,Total,Italy,2006 ,100
1990 and after,Percentage,Total,Lithuania,2009 ,0
1990 and after,Percentage,Total,Lithuania,2006 ,100
1990 and after,Percentage,Total,Latvia,2009 ,0
1990 and after,Percentage,Total,Latvia,2006 ,100
1990 and after,Percentage,Total,Netherlands,2009 ,0
1990 and after,Percentage,Total,Netherlands,2006 ,100
1990 and after,Percentage,Total,Portugal,2009 ,0
1990 and after,Percentage,Total,Portugal,2006 ,100
1990 and after,Percentage,Total,United States,2009 ,0
1990 and after,Percentage,Total,United States,2006 ,100
1990 and after,Percentage,Unknown,Bulgaria,2009 ,0
1990 and after,Percentage,Unknown,Bulgaria,2006 ,1.19
1990 and after,Percentage,Unknown,Spain,2009 ,0
1990 and after,Percentage,Unknown,Spain,2006 ,4.6
